"","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","datetime"
"152","4.966","0.000","235.880","21.000","37.000","0.000",17,2007-02-01 08:31:00
"153","5.020","0.000","235.420","21.200","37.000","0.000",17,2007-02-01 08:32:00
"154","4.978","0.000","235.490","21.000","38.000","0.000",17,2007-02-01 08:33:00
"155","4.866","0.000","234.550","20.600","37.000","0.000",17,2007-02-01 08:34:00
"156","4.840","0.000","235.380","20.400","37.000","0.000",17,2007-02-01 08:35:00
"157","4.888","0.000","236.070","20.600","37.000","0.000",17,2007-02-01 08:36:00
"158","5.176","0.000","234.840","22.000","37.000","0.000",17,2007-02-01 08:37:00
"159","4.506","0.000","234.930","19.000","37.000","0.000",17,2007-02-01 08:38:00
"160","4.608","0.048","235.000","19.600","37.000","0.000",17,2007-02-01 08:39:00
"161","4.718","0.088","234.170","20.000","37.000","0.000",16,2007-02-01 08:40:00
"162","4.700","0.086","233.910","20.000","37.000","0.000",17,2007-02-01 08:41:00
"163","4.672","0.090","235.150","19.800","37.000","0.000",17,2007-02-01 08:42:00
"164","2.620","0.110","237.550","11.000","2.000","0.000",17,2007-02-01 08:43:00
"165","2.588","0.182","237.120","11.000","1.000","0.000",18,2007-02-01 08:44:00
"166","2.758","0.420","236.480","11.800","1.000","1.000",17,2007-02-01 08:45:00
"167","2.904","0.408","237.010","12.200","2.000","1.000",17,2007-02-01 08:46:00
"168","2.906","0.400","236.940","12.200","1.000","1.000",17,2007-02-01 08:47:00
"169","2.980","0.482","236.670","12.600","1.000","2.000",18,2007-02-01 08:48:00
"170","2.984","0.500","237.000","12.600","1.000","1.000",17,2007-02-01 08:49:00
"171","2.968","0.494","236.340","12.600","1.000","1.000",17,2007-02-01 08:50:00
"172","2.956","0.488","235.650","12.600","2.000","2.000",17,2007-02-01 08:51:00
"173","2.960","0.490","235.710","12.600","1.000","1.000",17,2007-02-01 08:52:00
"174","2.962","0.492","235.820","12.600","1.000","2.000",17,2007-02-01 08:53:00
"175","2.898","0.464","235.850","12.400","1.000","1.000",17,2007-02-01 08:54:00
"176","3.248","0.190","235.920","14.000","1.000","1.000",17,2007-02-01 08:55:00
"177","2.746","0.194","236.250","11.600","2.000","2.000",17,2007-02-01 08:56:00
"178","2.744","0.192","236.130","11.600","1.000","1.000",17,2007-02-01 08:57:00
"179","2.754","0.196","236.760","11.600","1.000","1.000",18,2007-02-01 08:58:00
"180","2.664","0.176","236.910","11.200","1.000","2.000",17,2007-02-01 08:59:00
"181","3.260","0.136","236.020","14.000","1.000","1.000",17,2007-02-01 09:00:00
"182","2.402","0.104","237.230","10.000","2.000","1.000",17,2007-02-01 09:01:00
"183","2.406","0.106","237.480","10.000","1.000","2.000",17,2007-02-01 09:02:00
"184","2.410","0.108","237.820","10.000","1.000","1.000",18,2007-02-01 09:03:00
"185","2.164","0.106","237.980","9.200","1.000","1.000",17,2007-02-01 09:04:00
"186","1.906","0.104","238.350","8.000","1.000","1.000",18,2007-02-01 09:05:00
"187","1.898","0.102","237.720","8.000","2.000","2.000",17,2007-02-01 09:06:00
"188","1.904","0.104","237.890","8.000","1.000","1.000",17,2007-02-01 09:07:00
"189","1.908","0.104","238.190","8.000","1.000","1.000",18,2007-02-01 09:08:00
"190","1.902","0.104","237.850","8.000","1.000","1.000",17,2007-02-01 09:09:00
"191","1.904","0.104","237.880","8.000","1.000","1.000",17,2007-02-01 09:10:00
"192","1.896","0.102","237.500","8.000","2.000","2.000",18,2007-02-01 09:11:00
"193","1.900","0.102","237.700","8.000","1.000","1.000",17,2007-02-01 09:12:00
"194","1.850","0.000","237.380","7.800","1.000","0.000",17,2007-02-01 09:13:00
"195","1.840","0.000","238.280","7.600","1.000","0.000",18,2007-02-01 09:14:00
"196","1.830","0.000","237.770","7.600","1.000","0.000",17,2007-02-01 09:15:00
"197","1.830","0.000","237.680","7.600","2.000","0.000",17,2007-02-01 09:16:00
"198","1.810","0.000","237.450","7.600","1.000","0.000",18,2007-02-01 09:17:00
"199","1.658","0.000","237.340","7.000","1.000","0.000",17,2007-02-01 09:18:00
"200","1.654","0.000","237.280","6.800","1.000","0.000",17,2007-02-01 09:19:00
"201","1.722","0.056","236.790","7.200","2.000","0.000",17,2007-02-01 09:20:00
"202","1.760","0.114","237.170","7.400","1.000","0.000",18,2007-02-01 09:21:00
"203","1.768","0.116","237.310","7.400","1.000","0.000",17,2007-02-01 09:22:00
"204","1.766","0.116","237.300","7.400","1.000","0.000",17,2007-02-01 09:23:00
"205","1.842","0.118","237.740","7.800","1.000","0.000",17,2007-02-01 09:24:00
"206","1.678","0.128","237.890","7.000","2.000","0.000",18,2007-02-01 09:25:00
"207","1.444","0.120","237.600","6.000","1.000","0.000",17,2007-02-01 09:26:00
"208","1.444","0.122","237.920","6.000","1.000","0.000",17,2007-02-01 09:27:00
"209","1.448","0.124","238.270","6.000","1.000","0.000",18,2007-02-01 09:28:00
"210","1.444","0.122","238.100","6.000","2.000","0.000",17,2007-02-01 09:29:00
"211","1.448","0.124","238.540","6.000","1.000","0.000",18,2007-02-01 09:30:00
"212","1.444","0.126","238.710","6.000","1.000","0.000",17,2007-02-01 09:31:00
"213","1.434","0.122","238.060","6.000","1.000","0.000",18,2007-02-01 09:32:00
"214","1.518","0.216","237.850","6.400","1.000","0.000",17,2007-02-01 09:33:00
"215","1.490","0.256","237.550","6.200","1.000","0.000",17,2007-02-01 09:34:00
"216","1.474","0.248","237.380","6.200","1.000","0.000",17,2007-02-01 09:35:00
"217","1.458","0.246","237.490","6.200","1.000","0.000",18,2007-02-01 09:36:00
"218","1.518","0.234","237.460","6.400","1.000","0.000",17,2007-02-01 09:37:00
"219","1.444","0.116","238.820","6.000","1.000","0.000",18,2007-02-01 09:38:00
"220","1.430","0.098","238.510","6.000","2.000","0.000",17,2007-02-01 09:39:00
"221","1.418","0.094","238.160","5.800","1.000","0.000",17,2007-02-01 09:40:00
"222","1.420","0.094","238.160","5.800","1.000","0.000",18,2007-02-01 09:41:00
"223","1.416","0.094","238.100","5.800","1.000","0.000",17,2007-02-01 09:42:00
"224","1.406","0.092","237.500","5.800","1.000","0.000",17,2007-02-01 09:43:00
"225","1.384","0.104","237.390","5.800","1.000","0.000",18,2007-02-01 09:44:00
"226","1.348","0.076","238.030","5.600","1.000","0.000",17,2007-02-01 09:45:00
"227","1.300","0.000","238.160","5.400","1.000","0.000",17,2007-02-01 09:46:00
"228","1.332","0.000","238.270","5.600","1.000","0.000",18,2007-02-01 09:47:00
"229","2.402","0.000","236.870","11.000","17.000","0.000",17,2007-02-01 09:48:00
"230","3.496","0.000","235.980","14.800","37.000","0.000",17,2007-02-01 09:49:00
"231","3.492","0.000","235.930","14.800","37.000","0.000",17,2007-02-01 09:50:00
"232","3.502","0.000","236.290","14.800","38.000","0.000",17,2007-02-01 09:51:00
"233","3.494","0.000","235.840","14.800","37.000","0.000",17,2007-02-01 09:52:00
"234","3.486","0.000","235.610","14.800","37.000","0.000",17,2007-02-01 09:53:00
"235","3.492","0.000","236.000","14.800","37.000","0.000",18,2007-02-01 09:54:00
"236","3.504","0.000","236.530","14.800","37.000","0.000",17,2007-02-01 09:55:00
"237","3.518","0.000","237.180","14.800","38.000","0.000",17,2007-02-01 09:56:00
"238","3.520","0.000","236.980","14.800","38.000","0.000",17,2007-02-01 09:57:00
"239","3.510","0.000","236.810","14.800","37.000","0.000",17,2007-02-01 09:58:00
"240","3.502","0.000","236.860","14.600","37.000","0.000",18,2007-02-01 09:59:00
"241","3.520","0.000","237.370","14.800","38.000","0.000",17,2007-02-01 10:00:00
"242","3.508","0.000","237.140","14.800","37.000","0.000",17,2007-02-01 10:01:00
"243","3.500","0.000","236.930","14.600","37.000","0.000",17,2007-02-01 10:02:00
"244","2.368","0.114","237.160","11.000","19.000","0.000",17,2007-02-01 10:03:00
"245","1.376","0.112","237.750","5.800","0.000","0.000",18,2007-02-01 10:04:00
"246","1.380","0.116","238.340","5.800","0.000","0.000",17,2007-02-01 10:05:00
"247","1.378","0.120","237.810","5.800","0.000","0.000",18,2007-02-01 10:06:00
"248","1.394","0.148","237.150","5.800","0.000","0.000",17,2007-02-01 10:07:00
"249","1.372","0.116","236.940","5.800","1.000","0.000",17,2007-02-01 10:08:00
"250","1.358","0.108","236.760","5.600","0.000","0.000",17,2007-02-01 10:09:00
"251","1.356","0.110","236.830","5.600","0.000","0.000",17,2007-02-01 10:10:00
"252","1.348","0.106","236.060","5.600","0.000","0.000",17,2007-02-01 10:11:00
"253","1.352","0.108","236.580","5.600","0.000","0.000",18,2007-02-01 10:12:00
"254","1.348","0.106","236.210","5.600","0.000","0.000",17,2007-02-01 10:13:00
"255","1.362","0.112","237.570","5.600","0.000","0.000",17,2007-02-01 10:14:00
"256","1.358","0.110","237.390","5.600","0.000","0.000",17,2007-02-01 10:15:00
"257","1.362","0.112","237.720","5.600","0.000","0.000",18,2007-02-01 10:16:00
"258","1.368","0.116","238.370","5.600","0.000","0.000",17,2007-02-01 10:17:00
"259","1.344","0.074","238.780","5.600","0.000","0.000",18,2007-02-01 10:18:00
"260","1.282","0.000","238.900","5.200","0.000","0.000",17,2007-02-01 10:19:00
"261","1.322","0.000","239.140","5.400","0.000","0.000",18,2007-02-01 10:20:00
"262","1.360","0.090","239.100","5.600","0.000","0.000",17,2007-02-01 10:21:00
"263","1.348","0.086","238.030","5.600","0.000","0.000",17,2007-02-01 10:22:00
"264","1.352","0.086","238.230","5.600","0.000","0.000",18,2007-02-01 10:23:00
"265","1.356","0.088","238.800","5.600","0.000","0.000",17,2007-02-01 10:24:00
"266","1.356","0.088","238.890","5.600","0.000","0.000",18,2007-02-01 10:25:00
"267","1.352","0.088","238.550","5.600","0.000","0.000",17,2007-02-01 10:26:00
"268","1.356","0.090","239.250","5.600","0.000","0.000",18,2007-02-01 10:27:00
"269","1.352","0.088","238.810","5.600","0.000","0.000",17,2007-02-01 10:28:00
"270","1.344","0.086","238.300","5.600","0.000","0.000",18,2007-02-01 10:29:00
"271","1.344","0.086","238.250","5.600","0.000","0.000",17,2007-02-01 10:30:00
"272","1.342","0.086","238.250","5.600","0.000","0.000",17,2007-02-01 10:31:00
"273","1.288","0.000","238.140","5.400","0.000","0.000",18,2007-02-01 10:32:00
"274","1.266","0.000","237.400","5.200","0.000","0.000",17,2007-02-01 10:33:00
"275","1.262","0.000","237.050","5.200","0.000","0.000",17,2007-02-01 10:34:00
"276","1.276","0.000","238.340","5.200","0.000","0.000",18,2007-02-01 10:35:00
"277","1.278","0.000","238.570","5.200","0.000","0.000",17,2007-02-01 10:36:00
"278","1.286","0.000","238.520","5.400","0.000","0.000",18,2007-02-01 10:37:00
"279","1.310","0.000","238.690","5.400","0.000","0.000",17,2007-02-01 10:38:00
"280","1.280","0.000","238.660","5.200","0.000","0.000",18,2007-02-01 10:39:00
"281","1.286","0.000","239.260","5.400","0.000","0.000",17,2007-02-01 10:40:00
"282","1.284","0.000","239.180","5.400","0.000","0.000",18,2007-02-01 10:41:00
"283","1.290","0.000","239.650","5.400","0.000","0.000",17,2007-02-01 10:42:00
"284","1.302","0.000","239.110","5.400","0.000","0.000",18,2007-02-01 10:43:00
"285","1.392","0.118","239.060","5.800","0.000","0.000",17,2007-02-01 10:44:00
"286","1.400","0.122","239.870","5.800","0.000","0.000",18,2007-02-01 10:45:00
"287","1.394","0.122","239.690","5.800","0.000","0.000",17,2007-02-01 10:46:00
"288","1.400","0.124","240.310","5.800","0.000","0.000",18,2007-02-01 10:47:00
"289","1.402","0.126","240.650","5.800","0.000","0.000",18,2007-02-01 10:48:00
"290","1.406","0.128","241.270","5.800","0.000","0.000",18,2007-02-01 10:49:00
"291","1.406","0.130","241.420","5.800","0.000","0.000",18,2007-02-01 10:50:00
"292","1.400","0.128","240.880","5.800","0.000","0.000",17,2007-02-01 10:51:00
"293","1.410","0.128","241.100","5.800","0.000","0.000",18,2007-02-01 10:52:00
"294","1.406","0.128","241.000","5.800","0.000","0.000",18,2007-02-01 10:53:00
"295","1.396","0.124","240.190","5.800","0.000","0.000",18,2007-02-01 10:54:00
"296","1.386","0.122","239.640","5.800","0.000","0.000",17,2007-02-01 10:55:00
"297","1.366","0.114","238.130","5.600","0.000","0.000",18,2007-02-01 10:56:00
"298","1.370","0.116","238.560","5.600","0.000","0.000",17,2007-02-01 10:57:00
"299","1.372","0.116","238.760","5.600","0.000","0.000",18,2007-02-01 10:58:00
"300","1.328","0.050","239.180","5.400","0.000","0.000",17,2007-02-01 10:59:00
"301","1.280","0.000","238.740","5.200","0.000","0.000",17,2007-02-01 11:00:00
"302","1.276","0.000","238.440","5.200","0.000","0.000",18,2007-02-01 11:01:00
"303","1.282","0.000","238.950","5.200","0.000","0.000",17,2007-02-01 11:02:00
"304","1.278","0.000","238.520","5.200","0.000","0.000",18,2007-02-01 11:03:00
"305","1.270","0.000","237.860","5.200","0.000","0.000",17,2007-02-01 11:04:00
"306","1.270","0.000","237.690","5.200","0.000","0.000",18,2007-02-01 11:05:00
"307","1.274","0.000","238.160","5.200","0.000","0.000",17,2007-02-01 11:06:00
"308","1.328","0.000","238.370","5.600","0.000","0.000",17,2007-02-01 11:07:00
"309","1.364","0.090","239.000","5.600","0.000","0.000",18,2007-02-01 11:08:00
"310","1.366","0.090","239.100","5.600","0.000","0.000",17,2007-02-01 11:09:00
"311","1.362","0.090","238.870","5.600","0.000","0.000",18,2007-02-01 11:10:00
"312","1.364","0.090","239.120","5.600","0.000","0.000",17,2007-02-01 11:11:00
"313","1.364","0.090","239.230","5.600","0.000","0.000",18,2007-02-01 11:12:00
"314","1.360","0.090","238.870","5.600","0.000","0.000",17,2007-02-01 11:13:00
"315","1.354","0.088","238.700","5.600","0.000","0.000",18,2007-02-01 11:14:00
"316","1.430","0.198","237.860","6.000","0.000","0.000",17,2007-02-01 11:15:00
"317","1.422","0.204","237.830","6.000","0.000","2.000",17,2007-02-01 11:16:00
"318","1.418","0.204","237.830","6.000","0.000","1.000",18,2007-02-01 11:17:00
"319","1.402","0.176","238.130","5.800","0.000","1.000",17,2007-02-01 11:18:00
"320","1.362","0.106","238.750","5.600","0.000","2.000",18,2007-02-01 11:19:00
"321","1.358","0.104","238.350","5.600","0.000","1.000",17,2007-02-01 11:20:00
"322","1.364","0.108","238.950","5.600","0.000","2.000",18,2007-02-01 11:21:00
"323","1.370","0.108","238.830","5.600","0.000","1.000",17,2007-02-01 11:22:00
"324","1.366","0.106","238.400","5.600","0.000","1.000",17,2007-02-01 11:23:00
"325","1.398","0.126","238.990","5.800","0.000","2.000",18,2007-02-01 11:24:00
"326","1.484","0.242","239.320","6.200","0.000","1.000",18,2007-02-01 11:25:00
"327","1.474","0.238","238.870","6.200","0.000","2.000",17,2007-02-01 11:26:00
"328","1.478","0.242","239.490","6.200","0.000","1.000",18,2007-02-01 11:27:00
"329","1.488","0.248","240.610","6.200","0.000","1.000",17,2007-02-01 11:28:00
"330","1.490","0.250","241.020","6.200","0.000","2.000",18,2007-02-01 11:29:00
